CONTENT TYPE,Definition
Best Post,"Write a list of products, services, or resources readers want to find, use or buy."
Case Study ,"Real-world examples of how a product or service has helped customers. Includes problem, solution, and results. "
Comparison,Helps readers evaluate the features and benefits of competing products or services.
Comprehensive Guide,An in-depth guide that provides comprehensive coverage of a topic to get started. 
How-To Guide,"How to posts provide readers with step-by-step instructions to get a result or outcome. Can include tutorials, DIY guides, and problem-solving articles. "
Informational,"Provide readers with an answer to their question and further details. ""What is"" and explanatory types of articles. "
Listicle,"Non-""Best of"" listicles. A list post contains a list of resources, products, services, and tips that benefit a reader. "
News / Industry,"Timely articles covering recent developments or announcements in your industry. 
Examines current and future trends in a specific industry or niche. "
Product Page,"Dedicated page for a specific product. Includes features, benefits, specifications, and calls-to-action. "
Resource,"Resources, tools, checklists, or references that readers can use to further their knowledge or accomplish tasks."
Review,"Review a product or service for people familiar with it, wishing to know more, or buy it."
Service Page,Convert readers into a sales lead by describing how the service can help them.
Template,"A downloadable or usable template that readers can customize for their own needs, often saving time and effort."
Whitepaper / Ebook,"In-depth, long-form content that provides comprehensive information on a topic, often used as a lead magnet to collect reader information."
